序号,单词,来源,释义,词源,例句
5681,guardianship,超纲词,n. 监护权,由guardian（监护人）+ ship（身份/状态）构成，指监护权、保护或监管状态。,"1. The court granted her guardianship of the child.（法院授予了她对该儿童的监护权。）
2. The island is under the guardianship of the United Nations.（该岛屿处于联合国的托管之下。）
3. He assumed guardianship of his younger brother after their parents died.（父母去世后，他承担起了照顾弟弟的责任。）"
5682,habitually,超纲词,adv. 习惯地，日常地,源自habit（习惯），后缀-ually表示方式，意为“习惯性地”、“惯常地”。,"1. He is habitually late for meetings.（他开会总是习惯性迟到。）
2. She habitually checks her emails first thing in the morning.（她习惯在早上一开始就查看邮件。）
3. They are habitually ignored by the authorities.（他们习惯性地被当局忽视。）"
5683,hack,超纲词,"v. 砍，切，劈；未经允许侵入(他人的计算机或电话系统)；处理；猛踢；骑马
n. 雇佣文人，写手；二流政客；骑马；出租车",源自古英语haccian（砍、劈），引申为粗暴地切开，现代常指非法侵入计算机系统。,"1. The hackers managed to break into the secure database.（黑客设法侵入了安全数据库。）
2. He hacked a path through the dense forest.（他劈开了一条路穿过茂密的森林。）
3. I can't hack this kind of pressure anymore.（我再也无法忍受这种压力了（口语用法）。）"
5684,halve,超纲词,v. 把……对半分;把……二等分;(使)减半,源自half（一半），词尾加-ve变为动词，意为“平分”、“减半”。,"1. The new policy will halve the waiting time for patients.（新政策将使病人的等待时间减半。）
2. We decided to halve the profits between us.（我们决定平分利润。）
3. The company's revenue was halved due to the economic crisis.（由于经济危机，公司的收入减少了一半。）"
5685,hamlet,超纲词,n. 小村庄,源自古法语hamelet（小村庄），-let是小词后缀，意为“小村庄”、“村落”。,"1. They live in a tiny hamlet far from the city.（他们住在一个远离城市的小村庄里。）
2. The hamlet consists of only a few houses.（这个小村庄只有几户人家。）
3. The road leads to a quiet hamlet nestled in the valley.（这条路通向山谷中一个宁静的小村庄。）"
5686,hardline,超纲词,adj. (政策或态度)强硬的，不妥协的，坚定的,由hard（强硬的）+ line（路线/立场）构成，指“强硬路线的”、“不妥协的”。,"1. The government has adopted a hardline approach to the protesters.（政府对抗议者采取了强硬立场。）
2. He is known for his hardline views on immigration.（他以在移民问题上的强硬观点而闻名。）
3. The hardline faction within the party refused to negotiate.（党内的强硬派拒绝谈判。）"
5687,hasten,超纲词,v. 加快，加速；急忙，赶紧说(或做),源自haste（匆忙），词尾加-en变为动词，意为“催促”、“加速”、“赶快”。,"1. The news served to hasten his departure.（这个消息加速了他的离开。）
2. We must hasten to finish the project before the deadline.（我们必须赶快在截止日期前完成项目。）
3. Don't hasten to judge others without knowing the facts.（在不了解事实的情况下，不要急于评判他人。）"
5688,havoc,超纲词,n. 灾害，破坏，毁坏；混乱,源自古法语 havot，原意为抢劫或破坏，可联想“have + oc(ock)”即把一切都拿走导致混乱。,"1. The storm wreaked havoc on the coastal villages.（这场风暴给沿海村庄造成了严重破坏。）
2. The virus has played havoc with our travel plans.（病毒彻底打乱了我们的旅行计划。）
3. Uncontrolled inflation can cause economic havoc.（失控的通货膨胀会导致经济混乱。）"
5689,haystack,超纲词,n. 干草堆;干草垛,由 hay（干草）和 stack（堆）组合而成，指堆积起来的干草堆。,"1. Finding the lost ring in the field was like looking for a needle in a haystack.（在田野里找那枚丢失的戒指就像大海捞针。）
2. The children enjoyed playing hide-and-seek around the haystack.（孩子们喜欢在干草堆周围玩捉迷藏。）
3. The farmer piled the hay into a large haystack for the winter.（农夫把干草堆成一个大草堆以备过冬。）"
5690,haze,超纲词,n. 霾，烟雾;懵懂，迷糊,词源不详，可能与古英语 hasu（灰色的）有关，指空气中因灰尘或水汽形成的薄雾。,"1. The mountains were hidden in a blue haze.（群山隐没在蓝色的薄雾中。）
2. I have a hazy memory of our first meeting.（我对我们的第一次见面记忆模糊。）
3. The city was covered in a thick haze of smog.（城市被一层浓重的雾霾所笼罩。）"
5691,headhunter,超纲词,n. 猎头者(专门负责延揽人才);猎头部落成员(收集所杀者的人头),由 head（头）和 hunter（猎人）组成，原指猎头族，现引申为专门为企业搜寻高级人才的猎头。,"1. She was approached by a headhunter for a senior management position.（一位猎头联系了她，邀请她担任高级管理职位。）
2. Headhunters often scout for talent on professional networking sites.（猎头经常在专业社交网站上搜寻人才。）
3. The company hired a headhunter to find a new CEO.（公司聘请了一位猎头来寻找新的首席执行官。）"
5692,hearty,超纲词,adj. 热情的，友好的;健壮的，精神饱满的;丰盛的;强烈的,源自 heart（心脏/内心），指发自内心的、热诚的或丰盛的。,"1. They gave us a hearty welcome at the airport.（他们在机场给了我们热情的欢迎。）
2. He ate a hearty breakfast before starting his long journey.（他在开始长途旅行前吃了一顿丰盛的早餐。）
3. The proposal received a hearty round of applause.（该提议赢得了热烈的掌声。）"
5693,heatstroke,超纲词,n. 中暑,由 heat（热）和 stroke（打击/发作）组成，指因高温导致的身体机能受损，即中暑。,"1. The athlete collapsed from heatstroke during the marathon.（那名运动员在马拉松比赛中因中暑而倒下。）
2. Prolonged exposure to the sun can lead to heatstroke.（长时间暴露在阳光下会导致中暑。）
3. Drink plenty of water to prevent heatstroke in hot weather.（在炎热天气里要多喝水以防中暑。）"
5694,heavily,超纲词,adv. 沉重地;郁闷地;浓密地，繁茂地,由 heavy（沉重的）加后缀 -ly 构成，指程度深、分量重或频率高。,"1. It has been raining heavily all morning.（整个上午雨一直下得很大。）
2. The company relies heavily on foreign investment.（该公司严重依赖外国投资。）
3. The area is heavily guarded by security forces.（该地区由安全部队严密把守。）"
5695,herbivore,超纲词,n. 食草动物,源自拉丁语 herba（草）和 vorare（吞食），指以植物为食的动物。,"1. Cows and sheep are typical herbivores.（牛和羊是典型的食草动物。）
2. The evolution of herbivores has shaped the landscape of the grasslands.（食草动物的进化塑造了草原的地貌。）
3. Unlike carnivores, herbivores have specialized teeth for grinding plants.（与食肉动物不同，食草动物拥有专门用于研磨植物的牙齿。）"
5696,heresy,超纲词,n. 异端邪说;异教;异端;反面观点，悖论,源自希腊语 hairesis（选择），原指个人选择的观点，后引申为与正统教义相悖的异端邪说。,"1. His ideas were considered heresy by the church authorities.（他的观点被教会当局视为异端邪说。）
2. In the scientific community, questioning established theories is not heresy.（在科学界，质疑既定理论并非异端。）
3. He was accused of heresy for his radical political views.（他因激进的政治观点而被指控为异端。）"
5697,heretic,超纲词,n. 异教徒;异端分子,源自 heresy 的词根，指持有异端观点的人，即异教徒或持不同政见者。,"1. He was branded a heretic for challenging the traditional beliefs.（他因挑战传统信仰而被贴上异教徒的标签。）
2. History is full of people who were once called heretics but later proved right.（历史上充满了曾经被称为异端但后来被证明正确的人。）
3. The heretic refused to recant his controversial statements.（那个异端分子拒绝撤回他那充满争议的言论。）"
5698,hierarchical,超纲词,adj. 按等级划分的，等级制度的,源自希腊语 hierarkhia（神圣的统治），由 hieros（神圣的）和 arkhein（统治）组成，指等级森严的体系。,"1. The company has a rigid hierarchical structure.（这家公司有着严格的等级制度。）
2. Social status is often determined by a hierarchical system.（社会地位通常由等级制度决定。）
3. The data is organized in a hierarchical manner.（这些数据是以层级方式组织的。）"
5699,high-profile,超纲词,adj. 高姿态的;引人注目的，备受关注的,由 high（高的）和 profile（侧面轮廓/形象）组成，指在公众视野中形象突出、引人注目的。,"1. He is a high-profile lawyer in the city.（他是城里一位备受瞩目的律师。）
2. The case received high-profile media coverage.（该案件受到了媒体的高度关注。）
3. She decided to maintain a high-profile campaign.（她决定开展一场高调的竞选活动。）"
5700,hindrance,超纲词,n. 造成妨碍的人(或事物)，妨碍，阻挠,源自古英语 hindrian（阻碍），指在后面拉住某人，使其难以前进。,"1. His lack of experience is a major hindrance to his career.（缺乏经验是他职业生涯的一大障碍。）
2. The heavy rain was a hindrance to the rescue operation.（大雨阻碍了救援行动。）
3. Bureaucracy can be a hindrance to innovation.（官僚主义可能会阻碍创新。）"
5701,hoard,超纲词,"v. 贮藏，囤积
n. 贮藏物；隐藏物；收藏物",源自古英语 hord（宝藏、秘密储备），指为了以后使用而大量囤积。,"1. The squirrel hoards nuts for the winter.（松鼠为过冬囤积坚果。）
2. He has a secret hoard of gold coins.（他私藏了一批金币。）
3. Panic buying led people to hoard essential supplies.（恐慌性购买导致人们囤积生活必需品。）"
5702,holistic,超纲词,adj. 整体的，全面的；(医)功能整体性的,源自希腊语 holos（整体），强调从整体而非局部来看待事物。,"1. The doctor takes a holistic approach to patient care.（医生对病人采取整体治疗方案。）
2. We need a holistic view of the environmental problem.（我们需要从整体上审视环境问题。）
3. Holistic education focuses on the development of the whole person.（全人教育侧重于人的全面发展。）"
5703,home-grown,超纲词,adj. 自种的;土生土长的;本国(或本地)制造的(或培养的、教育的),由 home（家）和 grown（种植/成长）组成，指本土培育或本地产生的。,"1. We prefer to eat home-grown vegetables.（我们更喜欢吃自家种的蔬菜。）
2. The company relies on home-grown talent.（该公司依赖本土培养的人才。）
3. The movement was a home-grown initiative.（这场运动是一项本土发起的倡议。）"
5704,homeless,超纲词,adj. 无家可归的,由 home（家）和后缀 -less（无）组成，指无家可归的。,"1. Many homeless people sleep on the streets.（许多无家可归者露宿街头。）
2. The charity provides shelter for the homeless.（该慈善机构为无家可归者提供住所。）
3. The war left thousands of families homeless.（战争使成千上万的家庭流离失所。）"
5705,hominid,超纲词,n. [术] 人科动物,源自拉丁语 homo（人），指人科动物，即人类及其祖先。,"1. Scientists discovered fossils of an early hominid.（科学家发现了早期人科动物的化石。）
2. Hominids evolved over millions of years.（人科动物经过数百万年的进化而来。）
3. The study of hominid behavior helps us understand human origins.（对人科动物行为的研究有助于我们理解人类起源。）"
5706,hooray,超纲词,int. 好极了，好哇；万岁,拟声词，源自欢呼声，用于表达喜悦或庆祝。,"1. Hooray! We won the game!（好哇！我们赢了比赛！）
2. The crowd shouted hooray as the team appeared.（当队伍出现时，人群欢呼雀跃。）
3. There was a collective hooray when the news was announced.（当消息宣布时，大家齐声欢呼。）"
5707,horrify,超纲词,v. 惊吓，使厌恶，恐吓,源自拉丁语 horrere（颤抖、恐惧），指使人感到极度震惊或恐惧。,"1. The news of the accident horrified the whole nation.（事故的消息震惊了全国。）
2. I was horrified by the cruelty of the act.（这种行为的残忍令我感到恐惧。）
3. The thought of losing her job horrified her.（想到会丢掉工作，她感到非常害怕。）"
5708,horticultural,超纲词,adj. 园艺(学)的,源自拉丁语 hortus（花园）+ colere（耕种），指园艺相关的。,"1. The university offers a degree in horticultural science.（这所大学提供园艺科学学位。）
2. They visited the local horticultural show last weekend.（他们上周末参观了当地的园艺展。）
3. Horticultural practices have evolved significantly with modern technology.（随着现代技术的发展，园艺实践已发生了显著变化。）"
5709,hub,超纲词,n. 中心;枢纽;轮毂,源自古英语，原指车轮的中心轴，现引申为中心、枢纽。,"1. London is a major financial hub.（伦敦是一个主要的金融中心。）
2. The airport serves as a hub for international flights.（该机场是国际航班的枢纽。）
3. The kitchen is the hub of the family home.（厨房是家庭生活的中心。）"
5710,hunch,超纲词,"n. 预感，直觉；肉峰
v. 弓(背)；弯腰；耸肩",词源不详，可联想为背部隆起（驼背），引申为直觉或预感（像背后的某种感觉）。,"1. I had a hunch that he would win the election.（我有一种预感，他会赢得选举。）
2. She hunched her shoulders against the cold wind.（她缩起肩膀抵御寒风。）
3. My hunch proved to be correct in the end.（我的直觉最终被证明是正确的。）"
5711,hunter,超纲词,n. 猎人，猎手,源自 hunt（狩猎）+ -er（人），指从事狩猎的人或动物。,"1. The hunter tracked the deer through the forest.（猎人在森林里追踪那头鹿。）
2. Early humans were primarily hunter-gatherers.（早期人类主要是狩猎采集者。）
3. The lion is a natural hunter in the wild.（狮子是野外天生的猎手。）"
5712,hurdle,超纲词,"n. (跨越比赛的)栏，跨栏；障碍；难关
v. (奔跑中)跨越，跳跃",源自古英语，原指用树枝编成的篱笆（障碍物），现指跨栏或困难。,"1. Lack of funding is the biggest hurdle to the project.（资金短缺是该项目面临的最大障碍。）
2. He cleared the final hurdle to win the race.（他跨过了最后一个栏赢得了比赛。）
3. We must overcome many hurdles before we succeed.（在成功之前，我们必须克服许多困难。）"
5713,husbandry,超纲词,n. (尤指精心经营的)农牧业,源自 husband（管家/丈夫）+ -ry，原指家务管理，现多指农业或畜牧业。,"1. Modern animal husbandry requires strict hygiene standards.（现代畜牧业需要严格的卫生标准。）
2. He studied the principles of crop husbandry.（他学习了农作物耕作的原则。）
3. Good husbandry is essential for sustainable farming.（良好的管理对于可持续农业至关重要。）"
5714,hype,超纲词,"n.
v. 大肆宣传，炒作",可能源自 hyper-（过度），指过度的宣传或炒作。,"1. The movie didn't live up to the hype.（这部电影名不副实（没有达到炒作的预期）。）
2. The media hype surrounding the event was intense.（围绕该事件的媒体炒作非常激烈。）
3. Don't believe all the hype about this new product.（不要相信关于这个新产品的所有炒作。）"
5715,idealism,超纲词,n. 理想主义，唯心主义，唯心论，观念论，理念论,源自 ideal（理想）+ -ism（主义），指追求理想或唯心主义。,"1. His youthful idealism inspired many of his peers.（他年轻时的理想主义激励了许多同龄人。）
2. The novel explores the conflict between realism and idealism.（这部小说探讨了现实主义与理想主义之间的冲突。）
3. She maintained her idealism despite many setbacks.（尽管遭遇多次挫折，她依然保持着理想主义。）"
5716,idealize/-ise,超纲词,v. 将……视为理想，将……理想化,源自 ideal（理想）+ -ize（使...化），指将某人或某事理想化。,"1. It is easy to idealize the past.（人们很容易将过去理想化。）
2. We should not idealize our heroes too much.（我们不应该过度神化我们的英雄。）
3. He tends to idealize his childhood memories.（他倾向于将童年记忆理想化。）"
5717,idly,超纲词,adv. 懒惰地，空闲地,源自 idle（空闲的）+ -ly，指懒散地、无所事事地。,"1. He sat idly by the window, watching the rain.（他懒散地坐在窗边，看着雨水。）
2. We cannot stand idly by while people suffer.（我们不能在人们受苦时袖手旁观。）
3. She idly flipped through the pages of a magazine.（她漫不经心地翻阅着杂志。）"
5718,illiberal,超纲词,adj. 不容言论(或行动)自由的，不开明的,由否定前缀 il-（不）+ liberal（慷慨的、自由的）构成，指缺乏宽容或慷慨的。,"1. His illiberal views on education were widely criticized.（他在教育方面狭隘的观点受到了广泛批评。）
2. The government was accused of adopting illiberal policies.（政府被指责采取了不宽容的政策。）
3. He is known for his illiberal attitude toward new ideas.（他以对新思想持排斥态度而闻名。）"
5719,immigration,超纲词,n. 移居(入境)，移民人数，移民局检查站,由 im-（进入）+ migrare（迁移）构成，指移入某国定居。,"1. The government is tightening immigration laws.（政府正在收紧移民法。）
2. Immigration has a significant impact on the labor market.（移民对劳动力市场有重大影响。）
3. He works for the department of immigration.（他在移民局工作。）
4. Debates over immigration often focus on economic integration.（关于移民的辩论通常集中在经济融合上。）"
5720,immoral,超纲词,adj. 不道德的，邪恶的;放荡的，淫荡的,由否定前缀 im-（不）+ moral（道德的）构成，指违背道德准则的。,"1. It is immoral to profit from the suffering of others.（从他人的痛苦中获利是不道德的。）
2. He felt that the war was fundamentally immoral.（他认为这场战争从根本上是不道德的。）
3. The company's immoral practices led to a public outcry.（该公司不道德的行为引发了公众的强烈抗议。）"
5721,impel,超纲词,v. 促使，驱策，迫使,由 im-（向内/加强）+ pellere（推）构成，指驱使或促使某人做某事。,"1. Curiosity impelled her to ask more questions.（好奇心驱使她问了更多问题。）
2. He felt impelled to tell the truth.（他感到不得不说出真相。）
3. Financial necessity impelled him to find a job.（经济上的必要性促使他去找工作。）"
5722,impend,超纲词,v. 即将发生;正在逼近,由 im-（在上面）+ pendere（悬挂）构成，指（危险等）即将来临，悬在头上。,"1. The dark clouds signaled an impending storm.（乌云预示着一场即将来临的风暴。）
2. They were unaware of the impending danger.（他们没有意识到即将来临的危险。）
3. The company is facing an impending financial crisis.（该公司正面临一场即将来临的金融危机。）"
5723,impinge,超纲词,v. 冲击，影响;侵犯，侵占,由 im-（向）+ pangere（固定/打击）构成，指撞击或对某事物产生影响/侵害。,"1. The new law does not impinge on our personal freedom.（新法律并没有侵害我们的个人自由。）
2. Noise from the street impinges on my concentration.（街上的噪音影响了我的注意力。）
3. Light impinges on the retina to create images.（光线投射在视网膜上形成图像。）"
5724,implausible,超纲词,adj. 难以置信的，不可能的,由否定前缀 im-（不）+ plausible（貌似可信的）构成，指难以置信的。,"1. His excuse for being late was highly implausible.（他迟到的借口非常不可信。）
2. The plot of the movie is completely implausible.（这部电影的情节完全不合情理。）
3. It is not implausible that they will win the game.（他们赢得比赛并非不可能。）"
5725,implore,超纲词,vt. 恳求，哀求,由 im-（向）+ plorare（哭泣）构成，指恳求、哀求。,"1. She implored him to stay.（她恳求他留下来。）
2. They implored the government for help.（他们恳求政府提供援助。）
3. I implore you to reconsider your decision.（我恳求你重新考虑你的决定。）"
5726,impossibility,超纲词,n. 不可能做到的事情;无法实现或存在的情况,由否定前缀 im-（不）+ possibility（可能性）构成，指不可能的事物或状态。,"1. He realized the impossibility of the task.（他意识到了这项任务的不可能性。）
2. The sheer impossibility of the situation left them speechless.（局势的绝对不可能让他们无言以对。）
3. They discussed the practical impossibility of the plan.（他们讨论了该计划在实践上的不可能。）"
5727,impoverished,超纲词,adj. 穷困的，赤贫的,由 im-（进入状态）+ poverty（贫困）构成，指使贫困或贫瘠的。,"1. The war left the region completely impoverished.（战争使该地区变得极其贫困。）
2. She grew up in an impoverished neighborhood.（她在贫困的社区长大。）
3. The soil in this area is impoverished and yields little.（该地区的土壤贫瘠，产量很低。）
4. We must provide aid to the impoverished families.（我们必须向贫困家庭提供援助。）"
5728,impractical,超纲词,adj. 不切实际的，无用的，不现实的,由否定前缀 im-（不）+ practical（实际的）构成，意为不切实际的。,"1. It is impractical to try to finish the project in one day.（试图在一天内完成这个项目是不切实际的。）
2. His ideas are often brilliant but impractical.（他的想法往往很精彩，但不切实际。）
3. The design is beautiful but impractical for daily use.（这个设计很美，但日常使用起来不方便。）"
5729,imprison,超纲词,vt. 监禁，关押,由 im-（进入）+ prison（监狱）构成，意为关进监狱、监禁。,"1. He was imprisoned for five years.（他被监禁了五年。）
2. The dictator imprisoned all his political opponents.（独裁者监禁了他所有的政治对手。）
3. She felt imprisoned by her boring office job.（她感到被枯燥的办公室工作束缚住了。）"
5730,improper,超纲词,adj. 不合适的，不适当的,由否定前缀 im-（不）+ proper（合适的）构成，意为不合适的、不当的。,"1. He was dismissed for improper conduct.（他因行为不当被解雇了。）
2. It is improper to ask about someone's salary.（打听别人的薪水是不礼貌的。）
3. The use of improper language is strictly forbidden.（严禁使用不当语言。）"
5731,inaccurate,超纲词,adj. 错误的，不准确的,由否定前缀 in-（不）+ accurate（准确的）构成，意为不准确的、错误的。,"1. The report is full of inaccurate information.（这份报告充满了不准确的信息。）
2. His watch was inaccurate, so he arrived late.（他的表不准，所以他迟到了。）
3. The data provided by the witness was highly inaccurate.（目击者提供的数据非常不准确。）"
5732,inadequacy,超纲词,n. 不完全，不充分,由否定前缀 in-（不）+ adequacy（充足）构成，意为不足、不充分、缺陷。,"1. The main problem is the inadequacy of the current system.（主要问题是当前系统的不足。）
2. He suffered from a deep sense of inadequacy.（他深受一种深深的自卑感（能力不足感）困扰。）
3. The inadequacy of the funding led to the project's failure.（资金的不足导致了项目的失败。）"
5733,inappropriate,超纲词,adj. 不适当的,由否定前缀 in-（不）+ appropriate（适当的）构成，意为不适当的、不合时宜的。,"1. His comments were highly inappropriate for the occasion.（他的评论在那种场合非常不合时宜。）
2. It is inappropriate to wear jeans to a formal wedding.（穿牛仔裤参加正式婚礼是不合适的。）
3. The teacher criticized the student for his inappropriate behavior.（老师批评了该学生的不当行为。）"
5734,inarticulate,超纲词,adj. 不善于表达的，不善于说话的，词不达意的，表达不清楚的,由否定前缀 in-（不）+ articulate（清晰表达的）构成，意为表达不清的、口齿不清的。,"1. He was so nervous that he became inarticulate.（他太紧张了，以至于话都说不清楚。）
2. She is a brilliant scientist but an inarticulate speaker.（她是一位杰出的科学家，但不是一个善于表达的演讲者。）
3. The child's inarticulate cries made it hard to understand what he wanted.（孩子含糊不清的哭声让人很难理解他想要什么。）"
5735,inborn,超纲词,adj. 天生的，天赋的,由 in-（在内）+ born（出生）构成，意为天生的、与生俱来的。,"1. She has an inborn talent for music.（她有与生俱来的音乐天赋。）
2. Curiosity is an inborn human trait.（好奇心是人类天生的特质。）
3. He seems to have an inborn sense of direction.（他似乎有一种天生的方向感。）"
5736,incite,超纲词,vt. 煽动，唆使，刺激，激起,源自拉丁语 incitare（刺激、激励），现多指煽动、激起（负面情绪或行为）。,"1. He was accused of inciting violence.（他被指控煽动暴力。）
2. The speech was intended to incite the crowd to protest.（那场演讲旨在煽动人群进行抗议。）
3. Nothing can incite him to change his mind.（没有什么能促使他改变主意。）"
5737,inclement,超纲词,adj. 恶劣的(指寒冷的、潮湿的等),由否定前缀 in-（不）+ clement（温和的）构成，意为（天气）恶劣的、严酷的。,"1. The match was cancelled due to inclement weather.（比赛因天气恶劣而取消。）
2. We should be prepared for inclement conditions during the hike.（我们应该为徒步旅行中可能出现的恶劣天气做好准备。）
3. The flight was delayed because of the inclement storm.（由于恶劣的风暴，航班延误了。）"
5738,inclination,超纲词,n. (性格上的)倾向，爱好，趋向,源自拉丁语 inclinare（倾斜），引申为心理上的倾向或爱好。,"1. He has a natural inclination for music.（他天生对音乐有偏好。）
2. There is an inclination to ignore the risks.（人们有一种忽视风险的倾向。）
3. She showed an inclination to help others.（她表现出帮助他人的意愿。）"
5739,incompatible,超纲词,adj. 不相容的，矛盾的,由前缀 in-（不）+ compatible（兼容的）构成，指无法共存或不协调。,"1. Their personalities are completely incompatible.（他们的性格完全不合。）
2. The new software is incompatible with my computer.（新软件与我的电脑不兼容。）
3. These two goals are fundamentally incompatible.（这两个目标从根本上是相互矛盾的。）"
5740,incompetent,超纲词,"adj. 不胜任的
n. 无能力者",由前缀 in-（不）+ competent（有能力的）构成，指缺乏胜任某事的能力。,"1. He was fired for being incompetent.（他因能力不足而被解雇。）
2. The management was criticized as incompetent.（管理层被批评为无能。）
3. An incompetent doctor can cause serious harm.（不称职的医生可能会造成严重的伤害。）"
5741,incomplete,超纲词,adj. 不完全的，未完成的,由前缀 in-（不）+ complete（完整的）构成，指未完成或不完整。,"1. The report is still incomplete.（这份报告还不完整。）
2. He left the task incomplete.（他没把任务做完。）
3. The evidence is incomplete and cannot prove his guilt.（证据不充分，无法证明他有罪。）"
5742,inconclusive,超纲词,adj. 非决定性的，不确定的,由前缀 in-（不）+ conclusive（决定性的）构成，指无法得出结论的。,"1. The results of the experiment were inconclusive.（实验结果尚无定论。）
2. The police investigation remained inconclusive.（警方的调查仍未得出结论。）
3. They had an inconclusive discussion about the future.（他们就未来进行了一场没有结果的讨论。）"
5743,incorrectly,超纲词,adv. 错误地,由前缀 in-（不）+ correct（正确的）+ 副词后缀 -ly 构成，指以错误的方式。,"1. The data was entered incorrectly.（数据输入错误。）
2. He incorrectly assumed that everyone agreed.（他错误地认为每个人都同意。）
3. The machine was incorrectly assembled.（这台机器装配不当。）"
5744,indefensible,超纲词,adj. (道德上)无可辩解的，不能原谅的;无法防守的,由前缀 in-（不）+ defensible（可辩护的）构成，指无法辩解或无法防守的。,"1. His actions are morally indefensible.（他的行为在道德上是站不住脚的。）
2. The city was in an indefensible position.（这座城市处于无法防守的境地。）
3. Such a policy is indefensible in the modern world.（这种政策在现代社会是无法辩解的。）"
5745,indefinitely,超纲词,adv. 不定地，不明确地，模糊地,由前缀 in-（不）+ definite（明确的）+ 副词后缀 -ly 构成，指无限期地。,"1. The meeting has been postponed indefinitely.（会议已被无限期推迟。）
2. You cannot stay here indefinitely.（你不能无限期地待在这里。）
3. The strike could continue indefinitely.（罢工可能会无限期地持续下去。）"
5746,independently,超纲词,adv. 独立地;无关地,由前缀 in-（不）+ depend（依赖）+ 词缀 -ently 构成，指独立地、自主地。,"1. She prefers to work independently.（她更喜欢独立工作。）
2. The two departments operate independently.（这两个部门独立运作。）
3. Children should learn to think independently.（孩子们应该学会独立思考。）"
5747,indicator,超纲词,n. 指示者，指示物,源自拉丁语 indicare（指出），指显示某种情况的指标或标志。,"1. Economic growth is a key indicator of prosperity.（经济增长是繁荣的关键指标。）
2. The turn signal is a useful indicator for drivers.（转向灯对司机来说是一个有用的指示器。）
3. Rising prices are an indicator of inflation.（物价上涨是通货膨胀的迹象。）"
5748,indictment,超纲词,n. (制度、社会等的)衰败迹象，腐败迹象;刑事起诉书，公诉书;控告，起诉,源自拉丁语 indictare（宣告、指控），由 in-（向）+ dictare（说/断言）构成，意为正式提出指控。,"1. The indictment charged him with fraud.（起诉书指控他犯有欺诈罪。）
2. This report is a severe indictment of the current education system.（这份报告是对当前教育体系的严厉控诉。）
3. He was brought to trial following his indictment by the grand jury.（在大陪审团对他提起公诉后，他被送上法庭受审。）"
5749,indifference,超纲词,n. 不关心，冷漠,源自拉丁语 indifferentia，由 in-（不）+ differentia（差异）构成，意为对事物无差别对待，即冷漠、不在乎。,"1. His indifference to the suffering of others is shocking.（他对他人苦难的冷漠令人震惊。）
2. She reacted with complete indifference to the news.（她对这个消息表现得完全不在乎。）
3. The government's indifference toward the environment has sparked protests.（政府对环境问题的漠视引发了抗议。）"
5750,indirect,超纲词,adj. 间接的，迂回的，拐弯抹角的,源自拉丁语 indirectus，由 in-（不）+ directus（直接的）构成，意为非直接的、迂回的。,"1. We took an indirect route to avoid the traffic.（为了避开交通拥堵，我们走了一条迂回的路线。）
2. Smoking has an indirect effect on your health.（吸烟对你的健康有间接影响。）
3. He gave an indirect answer to my question.（他对我提出的问题给出了一个含糊的回答。）"
5751,induct,超纲词,v. 使正式就任;征召……入伍;使入门;传授,源自拉丁语 inductus，由 in-（进入）+ ducere（引导）构成，意为引导某人进入某个职位或组织。,"1. He was inducted into the Hall of Fame last night.（他昨晚入选了名人堂。）
2. The new members will be inducted during the ceremony.（新成员将在仪式上正式就职。）
3. The army inducted thousands of young men during the war.（战争期间，军队征召了数千名年轻人入伍。）"
5752,industrialization,超纲词,n. 工业化,由 industry（工业）+ -al（形容词后缀）+ -ize（动词后缀）+ -ation（名词后缀）构成，指工业化的过程。,"1. Rapid industrialization has changed the landscape of the country.（快速的工业化改变了这个国家的面貌。）
2. The country is undergoing a period of intense industrialization.（该国正处于工业化的高速发展期。）
3. Industrialization brought both economic growth and environmental challenges.（工业化既带来了经济增长，也带来了环境挑战。）"
5753,inedible,超纲词,"adj. 不可食用的,不适合食用的",由 in-（不）+ edible（可食用的）构成，意为不可食用的。,"1. Some mushrooms found in the forest are inedible.（森林里发现的一些蘑菇是不能吃的。）
2. The meat was so tough that it was practically inedible.（这肉太硬了，简直没法吃。）
3. The fruit looks attractive but is actually inedible.（这种水果看起来很诱人，但实际上不能吃。）"
5754,ineffective,超纲词,"adj. 无效率的,无能的",由 in-（不）+ effective（有效的）构成，意为无效的、不起作用的。,"1. The new law proved to be ineffective in reducing crime.（事实证明，这项新法律在减少犯罪方面是无效的。）
2. He was criticized for his ineffective leadership.（他因领导无方而受到批评。）
3. The medicine was ineffective against the virus.（这种药对该病毒无效。）"
5755,inefficient,超纲词,"adj. 无效率的,不称职的",由 in-（不）+ efficient（高效的）构成，意为效率低下的、浪费的。,"1. The old heating system is very inefficient.（旧的供暖系统效率非常低。）
2. An inefficient bureaucracy can hinder economic progress.（低效的官僚机构会阻碍经济发展。）
3. We need to eliminate inefficient work practices.（我们需要消除低效的工作习惯。）"
5756,inescapably,超纲词,adv. 必然发生地;不容忽视地,由 in-（不）+ escapable（可逃避的）+ -ly（副词后缀）构成，意为不可避免地、无法逃避地。,"1. We are inescapably linked to our past.（我们与过去有着无法割舍的联系。）
2. The conclusion is inescapably clear.（这个结论是显而易见、无法推翻的。）
3. He felt inescapably drawn to the mystery.（他感到自己无法抗拒地被这个谜团所吸引。）"
